repo,stars,new-stars-last-30d,new-stars-last-14d,new-stars-last-7d,new-stars-last-24H,stars-per-mille-30d,days-last-star,days-last-commit,days-since-creation,mentionable-users,language,archived,dependencies,status,start_date,join_date,liveness,unique-contributors,new-commits-last-30d,min-go-version,category,subcategory
konveyor/tackle2-operator,21,2,0,0,0,95.238,14,17,665,32,Jinja,false,0,Sandbox,2022-07-26,2022-07-26,20.000,2,15,,App Definition and Development,Application Definition & Image Build
brigadecore/brigade,2394,1,0,0,0,0.418,22,443,2243,92,Go,false,0,Archived,2019-03-18,2019-03-18,2.000,0,0,,App Definition and Development,Continuous Integration & Delivery
krator-rs/krator,143,3,0,0,0,20.979,15,609,941,22,Rust,false,0,Sandbox,2021-07-13,2021-07-13,4.000,0,0,,App Definition and Development,Application Definition & Image Build
fluxcd/flux2,5514,90,40,21,6,16.322,0,0,1329,142,Go,false,54,Graduated,2019-07-15,2019-07-15,100.000,12,59,1.20,App Definition and Development,Continuous Integration & Delivery
kubevela/kubevela,5792,65,28,13,1,11.222,0,9,1259,226,Go,false,92,Incubating,2021-06-22,2021-06-22,62.000,2,2,1.19,App Definition and Development,Application Definition & Image Build
keptn/keptn,1815,5,3,0,0,2.755,7,0,1788,121,Go,false,0,Incubating,2020-06-25,2020-06-25,67.000,4,30,,App Definition and Development,Continuous Integration & Delivery
nocalhost/nocalhost,1710,21,10,6,3,12.281,0,196,1130,35,Go,false,82,Sandbox,2021-11-16,2021-11-16,35.000,0,0,1.16,App Definition and Development,Application Definition & Image Build
kubevirt/kubevirt,4741,64,31,20,5,13.499,0,0,2554,311,Go,false,84,Incubating,2019-09-06,2019-09-06,100.000,27,164,1.19,App Definition and Development,Application Definition & Image Build
kudobuilder/kudo,1139,4,3,1,0,3.512,1,895,1849,66,Go,false,29,Sandbox,2020-06-25,2020-06-25,12.000,0,0,1.16,App Definition and Development,Application Definition & Image Build
open-gitops/project,769,19,11,5,1,24.707,0,225,889,15,unknown,false,0,Sandbox,2021-01-26,2021-01-26,31.000,0,0,,App Definition and Development,Continuous Integration & Delivery
microcks/microcks,1057,28,14,11,1,26.490,0,18,3216,33,Java,false,0,Sandbox,2023-06-22,2023-06-22,47.000,1,3,,App Definition and Development,Application Definition & Image Build
openkruise/kruise,4202,54,24,11,2,12.851,0,3,1659,110,Go,false,40,Incubating,2020-11-10,2020-11-10,72.000,4,6,1.19,App Definition and Development,Continuous Integration & Delivery
